Key Lower Bound,Key Generation,Operation,Verification,,
0.029325,7.714637,0.130129,0.344934,,
0.013929,8.993201,0.167518,0.140026,,
0.005498,9.243562,0.134894,0.191711,,
0.005498,9.239529,0.130496,0.139293,,
0.008064,10.523958,0.156155,0.176682,,
0.005498,8.982204,0.166785,0.148824,,
0.006232,8.951046,0.164952,0.138927,,
0.006232,9.086674,0.140393,0.188046,,
0.004765,16.189887,0.131229,0.199776,,
0.005132,9.271054,0.146991,0.200875,,
0.005132,9.44517,0.134528,0.350432,,
0.005132,10.166928,0.167518,0.247062,,
0.015396,9.103169,0.141492,0.141126,,
0.005498,8.930885,0.130862,0.245596,,
0.005498,9.140192,0.170817,0.203808,,
0.005498,9.088506,0.148091,0.199409,,
0.005498,9.276552,0.133062,0.140026,,
0.004765,8.971207,0.133428,0.146258,,
0.005498,9.070912,0.129396,0.26539,,
0.005498,8.673926,0.133795,0.224335,,
0.005498,9.09987,0.137827,0.146624,,
0.004765,9.168783,0.156521,0.169351,,
0.005865,9.693698,0.156888,0.222502,,
0.015396,8.9943,0.166419,0.192811,,
0.004765,9.072744,0.139293,0.140026,,
0.015762,9.043419,0.135261,0.223235,,
0.005498,9.030223,0.159087,0.171184,,
0.015029,9.138359,0.135261,0.148824,,
0.005498,8.922454,0.141859,0.149923,,
0.007331,14.458254,0.139293,0.183647,,
,,,,,
0.0079664333,9.5561767667,0.1453413333,0.1926887667,,average
0.0054515127,1.6476368092,0.0139543804,0.0557874175,,std deviation
,,,,,
0.0025149206,7.9085399575,0.1313869529,0.1369013492,,1 dev min
0.013417946,11.2038135759,0.1592957137,0.2484761842,,1 dev max
