Key Lower Bound,Key Generation,Operation,Verification
0.006598,63.002623,3.307111,2.285873,
0.007698,88.628517,2.190200,19.037697,
0.018695,112.077406,3.590096,24.606854,
0.007698,98.068921,2.149879,22.204416,
0.010997,95.112243,2.130451,20.034743,
0.007698,93.054371,2.134483,20.296100,
0.008064,98.675946,2.547230,21.773340,
0.008431,97.784104,2.357719,19.937237,
0.006965,108.043772,2.201197,19.712902,
0.006598,98.047294,2.141081,20.121251,
0.008064,117.653528,4.210316,29.007416,
0.006598,102.656062,2.451558,22.745459,
0.006965,95.191786,2.286606,18.980881,
0.007698,105.634368,2.444593,21.371223,
0.006965,95.797711,2.232721,21.180611,
0.006965,91.076043,2.206696,18.984180,
0.006598,94.159918,2.262779,19.317017,
0.006598,91.945525,2.308599,19.408290,
0.006232,94.123995,2.398407,18.738217,
0.016862,91.949190,2.181036,18.510217,
0.005865,91.291947,2.362117,18.677368,
0.016129,92.180124,2.454857,18.926996,
0.009531,92.213481,2.188734,19.501763,
0.016495,91.388352,2.144014,19.301988,
0.007331,91.522880,2.327294,19.121273,
0.017228,91.720456,2.216226,18.837922,
0.016495,91.506751,2.183236,18.736385,
0.007698,92.669116,2.653533,20.068466,
0.007331,91.224866,2.220258,18.878244,
0.006598,91.699562,2.455957,18.582429,
