Key Lower Bound,Key Generation,Operation,Verification
0.006598,0.117666,0.018328,0.004399,
0.006232,0.126830,0.017961,0.004765,
0.017961,0.120232,0.017961,0.004399,
0.017595,0.118033,0.021994,0.004765,
0.017228,0.118766,0.019061,0.004399,
0.005865,0.117666,0.021994,0.005132,
0.006965,0.118399,0.019061,0.004399,
0.018328,0.129762,0.018328,0.005132,
0.005865,0.140759,0.019061,0.004399,
0.006232,0.124264,0.019428,0.005132,
0.005865,0.130862,0.018328,0.006965,
0.005865,0.227268,0.017961,0.004765,
0.005498,0.127563,0.018695,0.004765,
0.006965,0.158721,0.017595,0.006598,
0.016129,0.185480,0.021994,0.004765,
0.005132,0.145158,0.017595,0.004765,
0.016862,0.154322,0.021261,0.007331,
0.006598,0.145891,0.017961,0.006232,
0.005865,0.135627,0.018328,0.006598,
0.009531,0.175583,0.017961,0.007331,
0.006598,0.226901,0.018328,0.006598,
0.005498,0.112168,0.017961,0.004765,
0.008431,0.196110,0.020894,0.014662,
0.005498,0.144058,0.021627,0.005132,
0.005498,0.115467,0.017595,0.004765,
0.005865,0.107769,0.020161,0.004765,
0.006598,0.120598,0.024193,0.007331,
0.007698,0.111434,0.018328,0.006598,
0.005498,0.123531,0.022727,0.004765,
0.005498,0.109968,0.018695,0.004765,
