Key Lower Bound,Key Generation,Operation,Verification
0.034457,16.542519,3.968020,3.289882,
0.038122,17.254380,3.780341,3.209239,
0.027492,17.331724,3.727556,3.114300,
0.037389,17.674825,6.396485,5.175104,
0.036656,16.647355,3.951158,3.189445,
0.028225,24.545272,3.777775,5.807055,
0.039589,16.535187,3.818830,3.161586,
0.027492,16.614365,3.909370,3.039888,
0.036656,16.674847,3.793537,3.225001,
0.037023,16.825504,3.951891,3.262757,
0.026026,16.504396,3.870515,3.249561,
0.036656,16.969195,3.918168,3.234532,
0.038489,25.006039,3.961788,3.152056,
0.037023,16.608133,3.903139,3.162686,
0.027125,16.582474,3.891409,5.692321,
0.037756,16.833934,3.883711,3.225368,
0.034457,17.364348,4.072856,3.115033,
0.036290,16.281894,3.918901,3.138859,
0.037023,16.424486,3.868682,3.227201,
0.026759,16.372801,3.779241,3.148023,
0.035556,16.208215,4.096316,3.306378,
0.030425,17.112521,3.927698,3.512385,
0.038855,17.122784,3.863917,3.407915,
0.036290,25.674646,3.849621,3.129695,
0.026392,16.507329,3.874913,3.124930,
0.028225,16.540319,4.116110,3.271921,
0.037023,18.997009,3.982682,5.512707,
0.027125,16.463708,3.820296,3.122731,
0.028225,17.361415,3.836058,3.240397,
0.034823,16.563046,4.271899,3.229033,
