Key Lower Bound,Key Generation,Operation,Verification
0.018328,0.332471,1.016473,0.092007,
0.013929,0.411281,1.005843,0.106303,
0.016495,0.407982,1.220281,0.144791,
0.015762,0.392587,1.152467,0.113634,
0.013563,0.405783,1.153200,0.101171,
0.026026,0.380123,1.043965,0.099705,
0.024193,0.611057,1.114711,0.100071,
0.013563,0.370959,1.166030,0.090907,
0.014296,0.403950,1.143303,0.139660,
0.015029,0.402117,1.218081,0.129762,
0.023460,0.395519,1.173727,0.090907,
0.013929,0.331004,1.288827,0.097505,
0.012830,0.446838,1.030402,0.094206,
0.023093,0.441706,1.041032,0.119865,
0.014662,0.342001,1.192422,0.119132,
0.021261,0.371326,1.243374,0.102637,
0.020161,0.460767,1.535156,0.135261,
0.014296,0.384889,1.149534,0.092740,
0.023093,0.513185,1.722102,0.156888,
0.014662,0.394419,1.595639,0.140393,
0.013563,0.364361,1.010241,0.177415,
0.012830,0.346033,1.004743,0.092740,
0.013563,0.328438,1.153567,0.099705,
0.023826,0.327339,1.063393,0.119865,
0.014296,0.328072,1.072190,0.091640,
0.020161,0.374258,1.137804,0.092007,
0.013929,0.325506,1.012807,0.091640,
0.013196,0.586131,1.009508,0.091274,
0.023460,0.324040,1.007309,0.131595,
0.013563,0.325139,1.015373,0.120965,
