Key Lower Bound,Key Generation,Operation,Verification,,
0.008431,4.566247,0.149557,0.162753,,
0.009164,9.150822,0.235332,0.12683,,
0.007331,9.073111,0.19611,0.118766,,
0.018328,9.043419,0.217737,0.108502,,
0.008064,8.909625,0.201608,0.14919,,
0.008064,8.753103,0.247062,0.194644,,
0.008064,12.4561,0.277853,0.110701,,
0.009164,8.952146,0.293615,0.116933,,
0.007331,9.217169,0.206374,0.119499,,
0.007331,9.232198,0.196477,0.277486,,
0.006965,8.948114,0.202342,0.108869,,
0.007331,9.048185,0.19611,0.17375,,
0.016495,9.247227,0.205641,0.1162,,
0.006965,8.966808,0.210039,0.156521,,
0.007331,9.385787,0.209306,0.134161,,
0.006965,14.11442,0.217004,0.20894,,
0.008064,9.371491,0.226901,0.223235,,
0.007331,9.511518,0.197576,0.108869,,
0.007698,17.13708,0.221036,0.216271,,
0.006965,9.382488,0.197576,0.116933,,
0.017228,9.01886,0.195743,0.180348,,
0.007698,8.859773,0.244496,0.108502,,
0.007698,9.555138,0.213338,0.208206,,
0.017228,9.083375,0.202342,0.150656,,
0.008064,9.008596,0.222502,0.175583,,
0.007331,9.558071,0.223969,0.118399,,
0.016862,9.966053,0.24303,0.128663,,
0.007331,8.992468,0.19721,0.300213,,
0.007698,8.943715,0.20784,0.109235,,
0.016495,9.533511,0.253293,0.180348,,
,,,,,
0.0095671667,9.5662206,0.2169673,0.1569735333,,average
0.0038832556,2.0102003621,0.0277372729,0.0514430877,,std deviation
