Key Lower Bound,Key Generation,Operation,Verification,,
0.030058,15.971784,4.221313,3.426243,,
0.028592,16.955633,4.263834,3.315542,,
0.038489,16.198685,4.029602,3.457034,,
0.027859,16.494866,3.858418,3.260924,,
0.027859,16.516493,3.764945,3.190911,,
0.027492,16.64149,3.891409,5.502076,,
0.027492,16.379766,3.741485,3.193477,,
0.029691,19.704471,3.715459,3.072879,,
0.037389,17.342354,3.876013,3.132994,,
0.026392,16.619496,3.96692,3.176982,,
0.027859,16.480203,3.859151,3.205573,,
0.028225,16.617664,3.913769,3.40315,,
0.028225,16.686577,3.99148,3.285117,,
0.036656,16.47947,4.171828,3.186512,,
0.028225,17.031877,3.84119,3.263857,,
0.027859,21.88734,3.819196,3.35623,,
0.049852,16.485335,3.882978,3.118332,,
0.026392,16.479104,4.081287,3.14839,,
0.047653,17.812285,3.724623,3.134461,,
0.054251,16.202717,3.807833,3.134461,,
0.035923,16.460042,3.849987,3.101104,,
0.037023,16.63086,4.122342,3.288416,,
0.031524,16.304254,3.803067,3.25176,,
0.032624,16.784449,3.744418,3.12493,,
0.030058,16.788481,3.843389,3.177715,,
0.027125,16.507329,3.806366,3.07801,,
0.025659,16.361438,3.718025,5.504642,,
0.027125,16.22801,3.711061,3.167451,,
0.038489,25.446645,3.822129,3.261657,,
0.038122,17.050205,4.48487,3.31994,,
,,,,,
0.0326727333,17.1849774333,3.9109462333,3.3746923333,,average
0.0073952558,1.9418736878,0.186997201,0.5874168893,,std deviation
