Key Lower Bound,Key Generation,Operation,Verification,,
0.020527,1030.635346,42.529521,33.119897,,
0.01063,1033.643713,43.350618,33.202007,,
0.010264,1025.247264,42.493598,31.780483,,
0.010264,997.386786,42.786847,32.9927,,
0.020527,1022.600326,42.449244,32.048072,,
0.020161,1002.055308,43.171736,32.167938,,
0.020527,1021.406803,42.492132,32.468518,,
0.01063,1016.550601,42.526222,33.124296,,
0.020527,1051.466648,43.433094,32.386042,,
0.021994,1030.12326,41.525877,32.908025,,
0.020527,1021.33679,43.58815,32.364415,,
0.021261,1019.192407,43.537564,31.961564,,
0.020894,1021.085329,42.492498,31.787081,,
0.008431,1004.274103,42.172124,32.189565,,
0.020527,1023.792749,41.985544,32.589483,,
0.020161,1008.301143,42.175056,32.711181,,
0.019794,1022.740719,42.662583,32.986835,,
0.020527,1027.334829,42.387295,31.68481,,
0.019061,956.801872,42.964996,32.320427,,
0.009164,1080.971519,42.876654,29.503772,,
0.020527,986.908636,42.45071,32.45972,,
0.020161,1085.643707,42.521457,29.263307,,
0.020161,963.942849,42.515958,32.014349,,
0.021261,1082.590619,42.264864,29.153706,,
0.019428,971.612407,42.154896,32.968874,,
0.013563,1070.259137,41.31657,30.189241,,
0.019794,968.400599,43.039774,37.561518,,
0.020161,1044.561736,41.526976,30.590259,,
0.009531,967.432511,43.383975,33.099003,,
0.020527,1047.587331,41.719421,29.204291,,
,,,,,
0.0177170667,1020.1962349,42.5498651333,32.0933793,,average
0.0046349262,34.5258184641,0.597373987,1.6230676812,,std deviation
