Key Lower Bound,Key Generation,Operation,Verification,,
0.015029,902.599212,7.772929,31.571176,,
0.005865,964.692833,8.301143,29.807651,,
0.005865,959.271027,8.110165,29.735805,,
0.005865,959.875853,8.265587,29.799586,,
0.016495,926.474071,7.724909,32.203494,,
0.016129,926.79921,8.029521,29.081493,,
0.005865,951.715103,8.251657,28.956862,,
0.007331,962.741261,8.445568,29.411032,,
0.006965,933.827653,8.395349,30.484323,,
0.005498,952.131516,8.482591,30.082938,,
0.005865,971.193794,8.401581,29.47298,,
0.005865,974.498343,8.317638,29.524666,,
0.006232,917.841556,8.119695,30.22663,,
0.016129,954.625965,8.538308,29.72884,,
0.006965,953.019694,8.152319,30.235428,,
0.006232,952.17477,8.058846,29.164703,,
0.016495,955.107993,8.236995,28.900045,,
0.006598,959.150062,8.555537,30.805064,,
0.004765,961.712691,9.047095,38.672565,,
0.006598,946.90802,6.776615,31.823737,,
0.015396,936.28068,9.118574,39.088978,,
0.051319,950.699729,6.573174,31.967062,,
0.004765,936.154583,8.886541,39.014566,,
0.006598,945.359666,6.461373,31.849396,,
0.015762,938.33049,9.293791,39.366832,,
0.006232,935.095955,6.296787,32.69102,,
0.005865,932.469544,8.713158,40.318058,,
0.005865,945.145228,6.589669,32.040008,,
0.005865,948.743392,10.732177,40.771494,,
0.005132,948.330277,6.631824,31.964496,,
,,,,,
0.0098483333,946.7656723667,8.1093705333,32.2920309333,,average
0.0089234242,15.894379536,0.9647937792,3.8543167956,,std deviation
,,,,,
0.0009249091,930.8712928307,7.1445767542,28.4377141377,,1 dev min
0.0187717576,962.6600519026,9.0741643125,36.146347729,,1 dev max
