Key Lower Bound,Key Generation,Operation,Verification
0.015029,6.134027,0.118766,0.225068,
0.008431,9.192976,0.243396,0.644780,
0.007698,9.342900,0.329538,0.602259,
0.018328,9.154854,0.246695,1.026737,
0.010264,9.194442,0.241564,0.615089,
0.007331,9.358662,0.252927,0.677404,
0.006232,11.561692,0.245962,0.614722,
0.007698,9.305510,0.245596,0.655411,
0.007331,9.245028,0.245596,0.625719,
0.017228,9.366726,0.243030,0.731289,
0.007331,9.254925,0.268689,0.625353,
0.006965,10.189655,0.278220,0.618388,
0.007331,9.529479,0.345300,0.605192,
0.006965,9.350231,0.234965,0.619488,
0.006965,10.049629,0.278586,0.788472,
0.008431,17.866536,0.245229,0.646980,
0.005865,9.210571,0.269422,0.754382,
0.006965,9.260423,0.267956,0.648812,
0.006232,9.866715,0.324406,1.212216,
0.005498,9.335935,0.246329,0.627185,
0.017595,9.643479,0.244129,0.664941,
0.009164,9.874779,0.245596,0.622054,
0.007698,9.936728,0.246329,1.156133,
0.006598,9.649711,0.302413,0.670440,
0.006598,9.352797,0.257326,0.758048,
0.017228,9.311375,0.293249,0.631951,
0.006232,9.456900,0.245596,0.756948,
0.016862,15.770908,0.245229,0.690600,
0.006598,9.117831,0.235332,0.632684,
0.006598,9.381388,0.306445,0.604459,
